feature,rf,gbm,xgb,lgbm,rf_norm,gbm_norm,xgb_norm,lgbm_norm,avg_norm
유보액/납입자본비율,0.07206079949212553,0.12801335379088388,0.08572047,6,0.07206079949212554,0.12801335379088388,0.08572047,0.10714285714285714,0.0982343706159147
매출채권회전율,0.038133899223989284,0.0685731548737416,0.028894095,6,0.03813389922398929,0.0685731548737416,0.028894095,0.10714285714285714,0.0606860014977183
무형자산,0.04270600301145188,0.04255333467130951,0.025255188,5,0.04270600301145189,0.04255333467130951,0.025255188,0.08928571428571429,0.0499500600785962
총자산증가율,0.04407477972128839,0.04934243116564854,0.06871378,1,0.0440747797212884,0.04934243116564854,0.06871378,0.017857142857142856,0.044997032627833417
매출총이익률,0.04217653943111837,0.03530388798034472,0.029037056,4,0.042176539431118376,0.03530388798034472,0.029037056,0.07142857142857142,0.04448651383270336
순운전자본비율,0.04081002022730863,0.045753358701891775,0.06636,1,0.04081002022730864,0.045753358701891775,0.06636,0.017857142857142856,0.04269512964549939
유형자산,0.04284306074705198,0.06302401730766895,0.02663557,2,0.042843060747051985,0.06302401730766895,0.02663557,0.03571428571428571,0.04205423355515597
부채비율,0.046249087615888196,0.01559117175899776,0.0161216,5,0.0462490876158882,0.01559117175899776,0.0161216,0.08928571428571429,0.04181189337095918
매출원가율,0.042301920977136816,0.029349980154886803,0.056521162,2,0.04230192097713682,0.029349980154886803,0.056521162,0.03571428571428571,0.04097183730925456
현금비율,0.037572373373440125,0.044109457630506645,0.04543586,2,0.03757237337344013,0.044109457630506645,0.04543586,0.03571428571428571,0.040707994367822964
재고자산회전율,0.034277204526521964,0.0537639051741711,0.020284558,3,0.03427720452652197,0.0537639051741711,0.020284558,0.05357142857142857,0.04047427399679499
자기자본비율,0.06748914191772493,0.0515264763919995,0.04058401,0,0.06748914191772494,0.0515264763919995,0.04058401,0.0,0.039899906862613584
유형자산회전율,0.035708544671939686,0.02951051143878581,0.019133374,4,0.03570854467193969,0.02951051143878581,0.019133374,0.07142857142857142,0.038945250408565
유동자산증가율,0.05015267190968312,0.03324596844317207,0.01799046,2,0.05015267190968314,0.03324596844317207,0.01799046,0.03571428571428571,0.03427584667161783
차입금의존도,0.0423016712610765,0.04690430255553006,0.018146558,1,0.04230167126107651,0.04690430255553006,0.018146558,0.017857142857142856,0.0313024186017915
매출액순이익률,0.026216133627790003,0.022240744704691617,0.05614807,1,0.02621613362779001,0.022240744704691617,0.05614807,0.017857142857142856,0.030615523007913037
총자본영업이익률,0.022623730704673144,0.01809772539638161,0.052943733,1,0.022623730704673148,0.01809772539638161,0.052943733,0.017857142857142856,0.02788058288692022
자기자본순이익률,0.03258052263862369,0.02825943983847674,0.030685896,1,0.032580522638623696,0.02825943983847674,0.030685896,0.017857142857142856,0.027345750347038386
유동비율,0.0345057592778038,0.01881091131227049,0.024364734,1,0.034505759277803805,0.01881091131227049,0.024364734,0.017857142857142856,0.023884636878932518
비유동자산장기적합률,0.026865920453869603,0.03251733052024638,0.017878007,1,0.02686592045386961,0.03251733052024638,0.017878007,0.017857142857142856,0.02377960024374868
총자본회전율,0.022823190545039607,0.010476786264893564,0.022563532,2,0.02282319054503961,0.010476786264893564,0.022563532,0.03571428571428571,0.02289444862975963
당좌비율,0.024889320457417315,0.03131445839740982,0.017362148,1,0.024889320457417322,0.03131445839740982,0.017362148,0.017857142857142856,0.02285576732040659
vix_avg,0.012585510138788334,0.014517099394011093,0.020501066,2,0.012585510138788338,0.014517099394011093,0.020501066,0.03571428571428571,0.020829490311588657
총자본순이익률,0.022890139325143277,0.01636297636164983,0.0164779,1,0.02289013932514328,0.01636297636164983,0.0164779,0.017857142857142856,0.018397039542458346
유형자산상각비,0.006578146220825521,0.00823536218873411,0.030267837,1,0.006578146220825523,0.00823536218873411,0.030267837,0.017857142857142856,0.015734621948184688
무형자산상각비,0.002719133230314544,0.0048607435532883264,0.047461275,0,0.0027191332303145442,0.0048607435532883264,0.047461275,0.0,0.013760287948725978
총자본투자효율,0.021870771425617514,0.012349451817570604,0.01322745,0,0.021870771425617518,0.012349451817570604,0.01322745,0.0,0.011861918243306692
credit_spread,0.012656945821316766,0.00812975062632663,0.023587842,0,0.012656945821316769,0.00812975062632663,0.023587842,0.0,0.011093634497054607
cpi_yoy,0.013364904945230616,0.008901606025238791,0.011568614,0,0.01336490494523062,0.008901606025238791,0.011568614,0.0,0.008458781313045843
gdp_growth_yoy,0.012630229740230706,0.009000893716017517,0.011126817,0,0.01263022974023071,0.009000893716017517,0.011126817,0.0,0.0081894851650766
kosdaq_return,0.011403358341767719,0.00744225233610801,0.011869844,0,0.01140335834176772,0.00744225233610801,0.011869844,0.0,0.007678863681772762
usdkrw_chg,0.00907312950499653,0.008519910288145962,0.009277491,0,0.009073129504996532,0.008519910288145962,0.009277491,0.0,0.006717632673027321
감가상각비,0.004865435492805724,0.003397245219000211,0.017854001,0,0.004865435492805725,0.003397245219000211,0.017854001,0.0,0.006529170521214633
