feature,rf,gbm,xgb,lgbm,rf_norm,gbm_norm,xgb_norm,lgbm_norm,avg_norm
유보액/납입자본비율,0.07652641934457564,0.093598655549833,0.08556146,136,0.07652641934457566,0.093598655549833,0.08556146,0.06532180595581172,0.08025208564922826
총자산증가율,0.0382993272924341,0.05807384681597408,0.07913922,113,0.038299327292434106,0.05807384681597408,0.07913922,0.05427473583093179,0.057446781918419204
유형자산,0.048995570608002983,0.05718720095270476,0.025294663,173,0.048995570608003,0.05718720095270476,0.025294663,0.08309317963496637,0.05364265364505773
자기자본비율,0.07239187879169998,0.05144247538723394,0.039317735,57,0.07239187879169999,0.05144247538723394,0.039317735,0.027377521613832854,0.0476324025830689
순운전자본비율,0.04232776310442873,0.04442599647399468,0.07250057,55,0.042327763104428734,0.04442599647399468,0.07250057,0.026416906820365033,0.04641780950183296
현금비율,0.03694478301785007,0.05392523810707961,0.05568403,78,0.03694478301785008,0.05392523810707961,0.05568403,0.037463976945244955,0.0460045070315436
무형자산,0.04278872875503164,0.054945191613717505,0.026228083,113,0.042788728755031646,0.054945191613717505,0.026228083,0.05427473583093179,0.0445591848743228
매출액순이익률,0.02615825484025573,0.025124570415242395,0.080458954,56,0.026158254840255735,0.025124570415242395,0.080458954,0.026897214217098942,0.03965974836230706
매출채권회전율,0.035694501461379965,0.06018694443831379,0.019615397,83,0.03569450146137997,0.06018694443831379,0.019615397,0.039865513928914506,0.03884058917146748
유동자산증가율,0.05022022621125478,0.03793823131094498,0.016595824,91,0.05022022621125479,0.03793823131094498,0.016595824,0.043707973102785784,0.0371155635788202
재고자산회전율,0.03355523168003999,0.051620929225544024,0.01576952,86,0.033555231680039994,0.051620929225544024,0.01576952,0.04130643611911623,0.03556302944979599
매출원가율,0.04128016636622772,0.027997952722992357,0.04956731,43,0.04128016636622773,0.027997952722992357,0.04956731,0.020653218059558116,0.03487466135641748
부채비율,0.04877549747877799,0.023162307958614653,0.01110845,113,0.048775497478778004,0.023162307958614653,0.01110845,0.05427473583093179,0.034330247732141515
총자본영업이익률,0.023095723396545177,0.024943596140291603,0.04565579,83,0.02309572339654518,0.024943596140291603,0.04565579,0.039865513928914506,0.03339015604554024
매출총이익률,0.042326123617205745,0.03972392778651188,0.021840729,60,0.04232612361720575,0.03972392778651188,0.021840729,0.02881844380403458,0.03317730600678062
자기자본순이익률,0.036217194964721325,0.03740109857001897,0.020569026,56,0.03621719496472133,0.03740109857001897,0.020569026,0.026897214217098942,0.030271133555505893
차입금의존도,0.03340221702947882,0.032847301412128424,0.016258916,58,0.03340221702947883,0.032847301412128424,0.016258916,0.027857829010566763,0.027591565834614237
비유동자산장기적합률,0.028894085224036588,0.021087584691322138,0.02065843,82,0.028894085224036595,0.021087584691322138,0.02065843,0.0393852065321806,0.027506326539899113
유형자산회전율,0.028828675518439647,0.02814285833009026,0.013870287,71,0.028828675518439654,0.02814285833009026,0.013870287,0.034101825168107586,0.026235911442975327
당좌비율,0.02469601189468831,0.025216321617985232,0.031056732,40,0.024696011894688317,0.025216321617985232,0.031056732,0.01921229586935639,0.02504534033033643
총자본회전율,0.0205081045395972,0.02206032547233487,0.020797782,75,0.020508104539597203,0.02206032547233487,0.020797782,0.03602305475504323,0.024847316603306746
유동비율,0.034865751389994405,0.020520883454189585,0.014716203,46,0.03486575138999441,0.020520883454189585,0.014716203,0.022094140249759846,0.023049244604610147
총자본순이익률,0.02334941387366078,0.01801723712804905,0.014098985,54,0.023349413873660782,0.01801723712804905,0.014098985,0.025936599423631124,0.020350558886498765
credit_spread,0.014032652028718532,0.021117855666017777,0.024161836,40,0.014032652028718536,0.021117855666017777,0.024161836,0.01921229586935639,0.019631159924124973
무형자산상각비,0.0035146342677971737,0.00021607964256162206,0.061337832,28,0.0035146342677971746,0.00021607964256162206,0.061337832,0.013448607108549471,0.019629288345092002
gdp_growth_yoy,0.011071985867265231,0.006462629938099963,0.017237047,52,0.011071985867265233,0.006462629938099963,0.017237047,0.024975984630163303,0.014936911792256768
총자본투자효율,0.020970646307390168,0.010748137586702488,0.010114278,31,0.02097064630739017,0.010748137586702488,0.010114278,0.014889529298751201,0.01418064772646116
cpi_yoy,0.01351034798472096,0.01281196199972843,0.01293912,36,0.013510347984720963,0.01281196199972843,0.01293912,0.01729106628242075,0.014138123994597109
vix_avg,0.012469620938653902,0.010220113911176242,0.013649098,21,0.012469620938653905,0.010220113911176242,0.013649098,0.010086455331412104,0.01160632195625872
kosdaq_return,0.011043296966256893,0.0061586893732185595,0.01595218,14,0.011043296966256895,0.0061586893732185595,0.01595218,0.0067243035542747355,0.009969617275537013
usdkrw_chg,0.01131134801542883,0.007421904623020252,0.01585159,10,0.011311348015428832,0.007421904623020252,0.01585159,0.004803073967339097,0.009846979347048031
유형자산상각비,0.005599023143995959,0.01137889064110974,0.012123795,16,0.00559902314399596,0.01137889064110974,0.012123795,0.007684918347742555,0.009196656839766143
감가상각비,0.0063347940794448825,0.0038730610432530952,0.020269152,12,0.006334794079444884,0.0038730610432530952,0.020269152,0.005763688760806916,0.009060173915133482
