stock_code,year,quarter,gics_sector,총자산증가율,유동자산증가율,매출액순이익률,매출총이익률,자기자본순이익률,매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산,무형자산,무형자산상각비,유형자산상각비,감가상각비,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율,매출액증가율,순이익증가율,영업이익증가율,credit_spread,kosdaq_return,gdp_growth_yoy,usdkrw_chg,vix_avg,cpi_yoy,label
000250,2015,ANNUAL,Health Care,6.823177401621218,5.069563265738016,13.534884803847897,54.52731675397175,11.583135103655206,4.079641237138281,3.3854837935692177,0.7167173171669499,0.7167173171669499,45.47268324602824,19.40531541638921,455.6863825900311,83.74836551562285,373.9945874024157,15.012441701785717,41.91471710035049,2.513235958784383,160.5545803260383,59307475287.0,8566698096.0,291937762.0,3927885640.0,4219823402.0,11.26819023287352,9.700686324777582,885.357936204859,0.0970068632477758,9.417162870194169,-3.719702647903272,-1.0297704200124402,0.3758,0.5704,3.6,-1.8836,17.0333,0.9205,0
000250,2016,ANNUAL,Health Care,11.31728911713715,17.845809722976764,10.594630255157316,53.65564025367412,9.130629897565376,3.850975713025412,3.562664534840686,0.7184950103122344,0.7184950103122344,46.34435974632588,19.947493792280667,445.9574198540968,83.36981193885987,372.6374576925796,15.012441701785717,44.100765696904325,3.4025807092329754,185.9572944694696,57927530817.0,13066130897.0,398136105.0,4959428567.0,5357564672.0,11.875415480591792,7.6121889744335665,971.9248470956804,0.0761218897443356,11.593392368831136,-12.648629951372689,17.316004710549926,0.4344,-7.3061,2.8,10.2344,14.0979,1.4514,0
000250,2016,H1,Health Care,5.075304551176524,5.007422435103733,15.156818327141584,53.45103149968264,3.421313360820001,1.0872651913941391,0.9535439973851848,0.1907248906601583,0.1907248906601583,46.548968500317365,18.352499341610464,470.6337088421191,84.49335717986136,388.9801651163986,15.101590003371616,42.26166251190628,2.7720659403146866,184.26622174681748,58971771946.0,10390494133.0,193893783.0,2377206890.0,2571100673.0,3.220310331715244,2.8907825181999627,967.2372663202398,0.0289078251819996,11.593392368831136,-12.648629951372689,17.316004710549926,0.4607,-1.9306,3.9,0.971,15.6759,0.8406,0
000250,2016,Q1,Health Care,1.9223045981084212,2.283414783788309,13.871177806157949,55.017882981799296,3.030011774497079,1.0413551690601963,0.8862483574280923,0.1823309447512591,0.1823309447512591,44.98211701820071,19.803800468374344,453.354658629038,83.46980614058054,375.5005426147012,15.216808206,42.00239681085936,2.7155980840014613,168.79674101970588,59076891078.0,8723760758.0,94727918.0,1175620849.0,1270348767.0,3.0241520550787437,2.5291449542094764,925.8344094216714,0.0252914495420947,11.593392368831136,-12.648629951372689,17.316004710549926,0.4736,0.8837,3.0,-1.5785,20.4862,0.8593,0
000250,2016,Q3,Health Care,8.159723257353539,9.332047249617876,14.447036478412889,54.24570929306712,3.1781433136721065,1.0426214673238088,0.899469841222138,0.1853024625548724,0.1853024625548724,45.754290706932885,18.717164990476125,488.22802507414974,84.23381741639663,403.4463773996815,14.100581227549295,43.16298208074635,2.3054456916563586,199.62532853835225,59070887067.0,11516502593.0,293982586.0,3636079060.0,3930061646.0,3.159004916425816,2.6770714360699794,990.1915508599384,0.0267707143606997,11.593392368831136,-12.648629951372689,17.316004710549926,0.4111,0.9065,3.0,-5.8728,13.2339,0.7351,0
000250,2017,ANNUAL,Health Care,14.640654499116668,12.523960061027296,14.29320389738838,52.93768301860321,11.586039400206191,4.141807799079689,3.4705230013301183,0.6851631208088843,0.6851631208088843,47.06231698139678,18.30727005181413,553.6313360734922,84.52565929059453,461.4443122532472,34.64556848833333,45.71993552286751,2.2694341007866976,261.2166254127064,55174955377.0,20036482950.0,430631380.0,5819783117.0,6250414497.0,11.274749515370354,9.79317618869233,1109.9765886013784,0.0979317618869233,9.32232998257517,47.48663382734726,8.842058273084023,0.5526,22.3032,3.2,-6.5667,10.3079,1.441,0
000250,2017,H1,Health Care,5.083413117393588,4.588622353362644,14.473402147799469,52.314672541454335,3.205475058358612,1.0913766966477476,0.8813920363113069,0.1852290117838707,0.1852290117838707,47.68532745854567,19.5673937826009,462.4850144145422,83.6348412693693,380.5715724445786,34.64556848833333,44.34651933591127,3.802368944882764,212.86568817964456,56450451798.0,16128717062.0,195096303.0,2862538894.0,3057635197.0,3.0005620623032287,2.680893976987448,1031.0528899072838,0.0268089397698744,8.117941767367547,3.242937720596564,3.7291986754644815,0.526,8.0351,3.0,2.1055,11.4263,1.9214,0
000250,2017,Q1,Health Care,2.8408353945449787,2.966236527381673,14.984645777316564,55.08387370660016,3.3498481493286096,1.0491067651237145,0.8820738794483572,0.1851667303357996,0.1851667303357996,44.91612629339984,20.73013372213209,433.5258685651044,82.82936241100852,361.7085494088628,34.64556848833333,43.78855610515522,3.4533965125270685,195.0493451746088,56939550503.0,13410291438.0,98373504.0,1418873493.0,1517246997.0,3.351045496394958,2.774657863825856,1000.435435647628,0.0277465786382585,14.06740402918144,23.223829151445983,24.461686826599603,0.4755,-1.9258,3.5,-7.6458,11.6919,2.1997,0
000250,2017,Q3,Health Care,8.667236061524724,10.216710479061964,16.879218546769078,52.72804335574944,3.9560683132018792,1.0560616416834985,0.964917742911132,0.197157544783076,0.197157544783076,47.271956644250565,18.87705698921063,504.4407556507327,84.12052126179073,419.9379445460058,34.64556848833333,46.22856836321099,3.304336523560678,225.1920803845796,55675840468.0,17830424584.0,302916315.0,4326202085.0,4629118400.0,3.739280547575193,3.3278652865379525,1072.6041977465384,0.0332786528653795,18.99477316290574,39.02773659782097,32.383367285967346,0.5418,-2.4244,4.1,0.623,10.9443,2.2185,0
000250,2018,ANNUAL,Health Care,13.47657314780374,8.432697383629195,9.122848514203236,52.01160568873875,7.092093294244757,4.349177333658596,3.4223304700234456,0.6125029398879451,0.6125029398879451,47.98839431126126,26.921676194040774,370.3151565291265,78.78874830420432,311.93316475854607,34.64556848833333,39.76618624111227,3.5951872637560145,133.97345851728952,60726674412.0,21057367516.0,481237359.0,5821313818.0,6302551177.0,5.935143978217347,5.587771535101854,1196.9536565789278,0.0558777153510185,-0.7145884878961575,-36.62961954521947,-41.5350479187691,0.461,-17.8311,3.5,0.4853,21.0537,1.787,0
